Location,IP,zip_code,Who,Age,Sex,Facebook,Twitter,Pinterest,Instagram
Ann Arbor - Metro Detroit,69.154.148.33,48043,Other,50-59,Female,0,0,0,0
Ann Arbor - Metro Detroit,67.149.228.140,48072,Parent,30-39,Female,3,0,3,4
Ann Arbor - Metro Detroit,68.60.150.102,48072,Parent,30-39,Female,3,0,1,3
Ann Arbor - Metro Detroit,74.199.86.224,48073,Parent,40-49,Female,4,0,2,3
Ann Arbor - Metro Detroit,67.149.169.84,48073,Parent,30-39,Female,4,0,2,4
Ann Arbor - Metro Detroit,199.189.180.131,48082,Grandparent,60-69,Female,1,0,1,2
Ann Arbor - Metro Detroit,174.84.107.169,48093,Grandparent,60-69,Female,0,1,3,0
Ann Arbor - Metro Detroit,107.122.241.54,48101,Grandparent,50-59,Female,1,1,1,2
Ann Arbor - Metro Detroit,68.37.20.204,48101,Parent,30-39,Female,0,0,2,3
Ann Arbor - Metro Detroit,204.38.4.81,48103,Other,50-59,Female,0,0,0,3
Ann Arbor - Metro Detroit,73.145.240.133,48103,Parent,40-49,Female,4,0,0,1
Ann Arbor - Metro Detroit,68.49.106.218,48103,Parent,50-59,Female,1,0,3,4
Ann Arbor - Metro Detroit,174.240.144.195,48103,Parent,50-59,Female,3,0,1,0
Ann Arbor - Metro Detroit,24.128.225.132,48103,Other,50-59,Female,1,0,4,0
Ann Arbor - Metro Detroit,68.34.50.20,48103,Other relative,30-39,Male,1,0,4,0
Ann Arbor - Metro Detroit,68.42.71.164,48103,Parent,30-39,Male,0,4,0,0
Ann Arbor - Metro Detroit,68.37.206.189,48103,Parent,30-39,Female,4,0,0,3
Ann Arbor - Metro Detroit,73.190.35.149,48104,Grandparent,70,Female,4,0,0,3
Ann Arbor - Metro Detroit,73.212.165.80,48104,Other relative,60-69,Female,4,4,0,1
Ann Arbor - Metro Detroit,96.66.0.129,48105,Other relative,18-29,Prefer not to specify,0,0,0,0
Ann Arbor - Metro Detroit,174.236.33.159,48105,Parent,40-49,Female,3,2,2,4
Ann Arbor - Metro Detroit,68.51.181.186,48105,Parent,30-39,Female,4,1,1,4
Ann Arbor - Metro Detroit,98.250.206.126,48108,Parent,30-39,Female,4,0,2,4
Ann Arbor - Metro Detroit,73.191.221.99,48111,Teacher,60-69,Female,3,0,1,0
Ann Arbor - Metro Detroit,107.77.194.168,48116,Other,18-29,Female,1,1,1,1
Ann Arbor - Metro Detroit,198.111.167.37,48116,Other,18-29,Female,1,0,1,0
Ann Arbor - Metro Detroit,97.83.75.203,48116,Other relative,60-69,Female,4,4,4,4
Ann Arbor - Metro Detroit,68.36.126.188,48124,Other,Under 18,Prefer not to specify,1,0,0,3
Ann Arbor - Metro Detroit,68.48.60.100,48125,Grandparent,60-69,Male,0,0,0,0
Ann Arbor - Metro Detroit,143.59.246.177,48125,Teacher,18-29,Female,4,3,1,4
Ann Arbor - Metro Detroit,75.204.249.251,48128,Parent,40-49,Female,1,0,0,0
Ann Arbor - Metro Detroit,63.143.28.32,48131,Grandparent,60-69,Female,4,0,1,1
Ann Arbor - Metro Detroit,172.58.122.204,48135,Parent,30-39,Female,4,0,3,3
Ann Arbor - Metro Detroit,97.71.24.117,48150,Parent,40-49,Female,3,1,3,1
Ann Arbor - Metro Detroit,174.211.36.102,48150,Parent,50-59,Female,4,0,2,0
Ann Arbor - Metro Detroit,143.59.67.111,48150,Parent,40-49,Female,3,1,1,1
Ann Arbor - Metro Detroit,68.83.201.61,48150,Parent,30-39,Female,3,0,1,2
Ann Arbor - Metro Detroit,97.70.234.78,48150,Parent,18-29,Female,4,0,3,4
Ann Arbor - Metro Detroit,97.70.235.154,48152,Grandparent,60-69,Prefer not to specify,0,0,1,0
Ann Arbor - Metro Detroit,96.27.213.81,48152,Parent,,,4,1,1,1
Ann Arbor - Metro Detroit,206.57.234.162,48152,Parent,50-59,Female,4,0,1,0
Ann Arbor - Metro Detroit,96.27.213.81,48152,Teacher,,,4,1,1,1
Ann Arbor - Metro Detroit,97.70.8.117,48152,Child care provider,50-59,Female,1,0,0,0
Ann Arbor - Metro Detroit,97.70.8.117,48152,Parent,50-59,Female,1,1,1,3
Ann Arbor - Metro Detroit,99.66.55.55,48152,Grandparent,60-69,Female,4,0,2,3
Ann Arbor - Metro Detroit,19.12.76.190,48152,Grandparent,50-59,Female,1,3,1,3
Ann Arbor - Metro Detroit,23.28.232.64,48152,Grandparent,70,Male,4,4,0,2
Ann Arbor - Metro Detroit,107.194.170.14,48152,Other relative,50-59,Female,3,0,2,0
Ann Arbor - Metro Detroit,76.214.253.68,48152,Grandparent,60-69,Female,0,4,0,4
Ann Arbor - Metro Detroit,143.59.14.172,48152,Parent,30-39,Female,4,0,3,4
Ann Arbor - Metro Detroit,23.28.232.64,48152,Grandparent,,Female,1,0,1,0
Ann Arbor - Metro Detroit,76.192.60.158,48152,Parent,30-39,Female,4,2,2,4
Ann Arbor - Metro Detroit,35.209.238.202,48154,Grandparent,70,Male,4,0,0,0
Ann Arbor - Metro Detroit,172.58.122.155,48154,Parent,60-69,Female,1,3,0,3
Ann Arbor - Metro Detroit,69.14.49.6,48154,Parent,60-69,Male,1,0,0,4
Ann Arbor - Metro Detroit,67.149.30.167,48154,Grandparent,60-69,Female,4,0,3,0
Ann Arbor - Metro Detroit,99.184.245.82,48154,Grandparent,60-69,Female,1,1,1,1
Ann Arbor - Metro Detroit,97.70.13.15,48154,Parent,40-49,,4,0,0,0
Ann Arbor - Metro Detroit,74.199.123.85,48154,Parent,40-49,Female,4,1,3,1
Ann Arbor - Metro Detroit,198.109.141.245,48154,Parent,30-39,Female,4,1,1,1
Ann Arbor - Metro Detroit,74.199.121.78,48154,Parent,30-39,Female,3,1,3,3
Ann Arbor - Metro Detroit,69.14.49.6,48154,Grandparent,60-69,Male,1,0,1,0
Ann Arbor - Metro Detroit,73.144.177.170,48167,Parent,18-29,Male,0,0,0,0
Ann Arbor - Metro Detroit,68.60.57.153,48167,Other relative,18-29,Female,0,0,0,4
Ann Arbor - Metro Detroit,97.70.189.248,48167,Parent,70,,1,0,1,0
Ann Arbor - Metro Detroit,50.4.171.181,48167,Parent,60-69,Female,4,0,0,0
Ann Arbor - Metro Detroit,68.56.152.219,48167,Parent,50-59,Prefer not to specify,0,0,2,2
Ann Arbor - Metro Detroit,50.4.164.241,48167,Grandparent,60-69,Female,4,1,1,1
Ann Arbor - Metro Detroit,73.144.179.220,48167,Grandparent,60-69,Female,4,0,1,1
Ann Arbor - Metro Detroit,24.180.214.108,48167,Parent,18-29,Female,3,1,2,1
Ann Arbor - Metro Detroit,73.145.242.202,48167,Grandparent,18-29,Female,1,0,0,2
Ann Arbor - Metro Detroit,68.60.57.97,48167,Other relative,50-59,Female,0,0,0,3
Ann Arbor - Metro Detroit,76.9.124.2,48167,Grandparent,60-69,Male,1,0,1,0
Ann Arbor - Metro Detroit,24.127.15.148,48167,Grandparent,60-69,Female,4,4,2,4
Ann Arbor - Metro Detroit,174.233.129.210,48167,Parent,Under 18,Female,1,0,1,0
