location,IP,zip_code,awareness,excitement
Ann Arbor - Metro Detroit,35.139.183.163,33811,3,0
Ann Arbor - Metro Detroit,73.84.149.11,48009,0,0
Ann Arbor - Metro Detroit,69.154.148.33,48043,0,7
Ann Arbor - Metro Detroit,67.149.228.140,48072,2,10
Ann Arbor - Metro Detroit,68.60.150.102,48072,0,10
Ann Arbor - Metro Detroit,74.199.86.224,48073,0,6
Ann Arbor - Metro Detroit,67.149.169.84,48073,0,8
Ann Arbor - Metro Detroit,199.189.180.131,48082,0,8
Ann Arbor - Metro Detroit,174.84.107.169,48093,0,7
Ann Arbor - Metro Detroit,107.122.241.54,48101,0,7
Ann Arbor - Metro Detroit,68.37.20.204,48101,2,7
Ann Arbor - Metro Detroit,68.42.71.164,48103,2,4
Ann Arbor - Metro Detroit,68.49.106.218,48103,2,5
Ann Arbor - Metro Detroit,68.34.50.20,48103,1,7
Ann Arbor - Metro Detroit,174.240.144.195,48103,2,7
Ann Arbor - Metro Detroit,24.128.225.132,48103,0,9
Ann Arbor - Metro Detroit,204.38.4.81,48103,0,10
Ann Arbor - Metro Detroit,68.37.206.189,48103,0,10
Ann Arbor - Metro Detroit,73.145.240.133,48103,3,10
Ann Arbor - Metro Detroit,73.190.35.149,48104,2,10
Ann Arbor - Metro Detroit,73.212.165.80,48104,0,10
Ann Arbor - Metro Detroit,68.51.181.186,48105,2,3
Ann Arbor - Metro Detroit,174.236.33.159,48105,0,6
Ann Arbor - Metro Detroit,96.66.0.129,48105,0,10
Ann Arbor - Metro Detroit,98.250.206.126,48108,0,10
Ann Arbor - Metro Detroit,73.191.221.99,48111,0,10
Ann Arbor - Metro Detroit,198.111.167.37,48116,0,5
Ann Arbor - Metro Detroit,107.77.194.168,48116,1,7
Ann Arbor - Metro Detroit,97.83.75.203,48116,2,9
Ann Arbor - Metro Detroit,68.36.126.188,48124,0,10
Ann Arbor - Metro Detroit,68.48.60.100,48125,2,7
Ann Arbor - Metro Detroit,143.59.246.177,48125,0,7
Ann Arbor - Metro Detroit,75.204.249.251,48128,1,10
Ann Arbor - Metro Detroit,63.143.28.32,48131,0,10
Ann Arbor - Metro Detroit,172.58.122.204,48135,2,8
Ann Arbor - Metro Detroit,143.59.67.111,48150,0,3
Ann Arbor - Metro Detroit,68.83.201.61,48150,0,5
Ann Arbor - Metro Detroit,174.211.36.102,48150,2,7
Ann Arbor - Metro Detroit,97.70.234.78,48150,0,7
Ann Arbor - Metro Detroit,97.71.24.117,48150,0,10
Ann Arbor - Metro Detroit,96.27.213.81,48152,1,4
Ann Arbor - Metro Detroit,76.192.60.158,48152,2,5
Ann Arbor - Metro Detroit,23.28.232.64,48152,1,6
Ann Arbor - Metro Detroit,143.59.14.172,48152,0,6
Ann Arbor - Metro Detroit,19.12.76.190,48152,0,7
Ann Arbor - Metro Detroit,97.70.235.154,48152,2,8
Ann Arbor - Metro Detroit,97.70.8.117,48152,1,8
Ann Arbor - Metro Detroit,99.66.55.55,48152,0,8
Ann Arbor - Metro Detroit,107.194.170.14,48152,0,8
Ann Arbor - Metro Detroit,76.214.253.68,48152,0,10
Ann Arbor - Metro Detroit,35.209.238.202,48154,0,2
Ann Arbor - Metro Detroit,97.70.13.15,48154,0,2
Ann Arbor - Metro Detroit,172.58.122.155,48154,0,5
Ann Arbor - Metro Detroit,67.149.30.167,48154,1,7
Ann Arbor - Metro Detroit,74.199.123.85,48154,1,7
Ann Arbor - Metro Detroit,99.184.245.82,48154,0,8
Ann Arbor - Metro Detroit,74.199.121.78,48154,2,9
Ann Arbor - Metro Detroit,69.14.49.6,48154,2,10
Ann Arbor - Metro Detroit,198.109.141.245,48154,3,10
Ann Arbor - Metro Detroit,76.9.124.2,48167,0,0
Ann Arbor - Metro Detroit,73.144.181.243,48167,2,1
Ann Arbor - Metro Detroit,50.4.161.244,48167,0,2
Ann Arbor - Metro Detroit,97.70.135.168,48167,0,4
Ann Arbor - Metro Detroit,73.144.179.220,48167,0,5
Ann Arbor - Metro Detroit,73.145.242.202,48167,0,5
Ann Arbor - Metro Detroit,68.60.57.153,48167,0,5
Ann Arbor - Metro Detroit,50.4.164.241,48167,0,6
Ann Arbor - Metro Detroit,97.70.189.248,48167,2,6
Ann Arbor - Metro Detroit,73.144.177.170,48167,0,6
Ann Arbor - Metro Detroit,99.6.69.197,48167,0,7
Ann Arbor - Metro Detroit,165.225.63.46,48167,0,7
Ann Arbor - Metro Detroit,68.41.221.38,48167,0,9
Ann Arbor - Metro Detroit,50.4.166.14,48167,0,9
Ann Arbor - Metro Detroit,68.32.64.162,48167,0,9
Ann Arbor - Metro Detroit,24.180.214.108,48167,0,9
Ann Arbor - Metro Detroit,174.233.129.210,48167,0,9
Ann Arbor - Metro Detroit,24.127.15.148,48167,2,9
Ann Arbor - Metro Detroit,50.4.171.181,48167,1,10
Ann Arbor - Metro Detroit,68.56.152.219,48167,0,10
Ann Arbor - Metro Detroit,68.43.231.154,48167,1,10
Ann Arbor - Metro Detroit,50.4.172.197,48167,1,10
Ann Arbor - Metro Detroit,68.60.57.97,48167,3,10
Ann Arbor - Metro Detroit,174.240.19.148,48167,0,10
Ann Arbor - Metro Detroit,73.145.247.111,48168,0,1
Ann Arbor - Metro Detroit,50.4.175.52,48168,0,1
Ann Arbor - Metro Detroit,107.5.19.224,48168,0,1
Ann Arbor - Metro Detroit,68.56.155.18,48168,0,2
Ann Arbor - Metro Detroit,49.205.255.114,48168,0,2
Ann Arbor - Metro Detroit,68.43.142.252,48168,0,3
Ann Arbor - Metro Detroit,107.5.18.10,48168,2,4
Ann Arbor - Metro Detroit,50.4.168.102,48168,0,5
Ann Arbor - Metro Detroit,24.206.84.59,48168,0,5
Ann Arbor - Metro Detroit,68.56.154.7,48168,0,6
Ann Arbor - Metro Detroit,68.60.56.93,48168,2,6
Ann Arbor - Metro Detroit,68.41.29.138,48168,0,6
Ann Arbor - Metro Detroit,68.36.237.12,48168,0,7
Ann Arbor - Metro Detroit,38.155.79.57,48168,0,7
Ann Arbor - Metro Detroit,68.40.113.191,48168,0,8
Ann Arbor - Metro Detroit,68.43.250.44,48168,1,8
Ann Arbor - Metro Detroit,50.4.174.133,48168,1,8
Ann Arbor - Metro Detroit,68.56.154.8,48168,0,8
Ann Arbor - Metro Detroit,68.37.150.249,48168,0,10
Ann Arbor - Metro Detroit,99.65.160.130,48170,0,0
Ann Arbor - Metro Detroit,68.37.151.241,48170,1,2
Ann Arbor - Metro Detroit,76.192.60.71,48170,0,3
Ann Arbor - Metro Detroit,75.39.9.184,48170,1,5
Ann Arbor - Metro Detroit,69.14.54.112,48170,0,5
Ann Arbor - Metro Detroit,100.36.245.100,48170,2,5
Ann Arbor - Metro Detroit,198.208.47.79,48170,1,7
Ann Arbor - Metro Detroit,174.245.16.194,48170,1,7
Ann Arbor - Metro Detroit,99.73.148.226,48170,2,8
Ann Arbor - Metro Detroit,68.41.28.185,48170,0,9
Ann Arbor - Metro Detroit,107.5.20.123,48170,0,9
Ann Arbor - Metro Detroit,99.65.160.74,48170,1,9
Ann Arbor - Metro Detroit,63.143.25.40,48170,2,10
Ann Arbor - Metro Detroit,73.18.46.161,48174,0,10
Ann Arbor - Metro Detroit,174.240.144.91,48178,0,3
Ann Arbor - Metro Detroit,73.144.225.190,48178,0,4
Ann Arbor - Metro Detroit,172.3.66.159,48178,0,5
Ann Arbor - Metro Detroit,73.144.228.228,48178,0,5
Ann Arbor - Metro Detroit,172.3.67.19,48178,0,6
Ann Arbor - Metro Detroit,24.127.93.95,48178,2,8
Ann Arbor - Metro Detroit,68.41.169.46,48178,2,9
Ann Arbor - Metro Detroit,141.215.94.171,48178,0,10
Ann Arbor - Metro Detroit,68.49.40.29,48178,3,10
Ann Arbor - Metro Detroit,69.14.58.246,48180,0,9
Ann Arbor - Metro Detroit,68.43.72.194,48183,0,0
Ann Arbor - Metro Detroit,73.161.115.139,48185,0,8
Ann Arbor - Metro Detroit,75.38.164.68,48185,2,8
Ann Arbor - Metro Detroit,68.56.64.203,48186,0,10
Ann Arbor - Metro Detroit,68.49.204.187,48187,0,5
Ann Arbor - Metro Detroit,108.205.132.241,48187,0,5
Ann Arbor - Metro Detroit,23.28.64.10,48187,2,6
Ann Arbor - Metro Detroit,23.28.70.56,48187,2,6
Ann Arbor - Metro Detroit,23.28.64.65,48187,0,7
Ann Arbor - Metro Detroit,174.211.36.76,48187,0,8
Ann Arbor - Metro Detroit,68.36.86.116,48187,2,9
Ann Arbor - Metro Detroit,151.207.250.23,48188,2,4
Ann Arbor - Metro Detroit,174.81.232.110,48188,0,6
Ann Arbor - Metro Detroit,206.57.217.133,48193,0,1
Ann Arbor - Metro Detroit,99.104.239.83,48197,2,4
Ann Arbor - Metro Detroit,67.167.187.162,48198,0,1
Ann Arbor - Metro Detroit,68.49.59.250,48198,0,7
Ann Arbor - Metro Detroit,174.211.39.63,48198,0,8
Ann Arbor - Metro Detroit,172.58.143.167,48223,0,3
Ann Arbor - Metro Detroit,12.238.137.130,48234,1,6
Ann Arbor - Metro Detroit,68.37.241.178,48235,0,10
Ann Arbor - Metro Detroit,68.43.197.226,48236,0,2
Ann Arbor - Metro Detroit,141.217.135.234,48239,2,6
Ann Arbor - Metro Detroit,143.59.69.145,48239,3,10
Ann Arbor - Metro Detroit,104.1.186.136,48240,0,8
Ann Arbor - Metro Detroit,74.199.94.133,48240,0,10
Ann Arbor - Metro Detroit,98.224.240.129,48301,0,8
Ann Arbor - Metro Detroit,107.122.241.61,48301,0,10
Ann Arbor - Metro Detroit,98.250.190.237,48306,2,10
Ann Arbor - Metro Detroit,69.14.158.235,48313,0,6
Ann Arbor - Metro Detroit,174.162.117.127,48315,0,8
Ann Arbor - Metro Detroit,75.39.32.203,48323,1,7
Ann Arbor - Metro Detroit,162.230.42.228,48331,0,8
Ann Arbor - Metro Detroit,170.55.186.37,48331,0,10
Ann Arbor - Metro Detroit,159.118.108.236,48334,0,5
